ResponseId,Topic,SentimentScore,Text
R_3fc3829476,Billing Issues,-2.13,"Look, Why is my bill different every month when I'm on a fixed plan"
R_1f7e725909,Customer Service,2.21,Store staff were patient and explained everything clearly
R_cde67be39e,5G Performance,2.1,"I have to say, Paying for 5G but rarely get 5G signal"
R_a149874621,Value Perception,-0.39,Too expensive for what you get compared to competitors
R_bcdd6643fc,Billing Issues,-1.02,"Look, Unexpected charges appeared on my last three bills"
R_bf57549b94,Billing Issues,-2.34,"Look, The billing breakdown is impossible to understand"
R_2b9d3c059e,App Experience,-2.42,App is slow and the interface is confusing
R_b88dfc3247,5G Performance,-0.03,"To be fair, 5G speed is genuinely impressive, just needs wider rollout"
R_28d09378ea,5G Performance,2.95,"I have to say, Paying for 5G but rarely get 5G signal"
R_5be0722dd7,Network Coverage,-2.72,"To be fair, The network keeps dropping in my area, it's incredibly frustrating"
R_0858f21a0b,App Experience,-0.23,Login issues with the app at least once a week
R_c047fdb4fe,Loyalty & Retention,-0.21,"To be fair, No incentive to stay, loyalty means nothing here"
R_b04b48d3f0,Network Coverage,-1.08,"Honestly, Constant buffering when streaming, network can't handle it"
R_c57139fd65,Loyalty & Retention,1.08,Would leave tomorrow if porting wasn't such a hassle
R_fb255e6120,Customer Service,2.05,"To be fair, Quick resolution, the representative really knew their stuff"
R_86d4ebb76a,Customer Service,2.32,Agent went above and beyond to fix my billing problem
R_e52ef8c393,Customer Service,2.81,"To be fair, Best customer service experience I've had with any telecom"
R_5cddd440b4,Network Coverage,-3.21,"I have to say, Constant buffering when streaming, network can't handle it"
R_8a4d02b3e7,Customer Service,1.32,Impressed by how knowledgeable the support team is
R_7e2a82d59f,Billing Issues,-3.36,"I have to say, Unexpected charges appeared on my last three bills"
R_799e178a23,Network Coverage,-1.74,"I have to say, Network outages at least twice a month in our village"
R_d1bd495640,App Experience,-0.75,"To be fair, The new app update made everything worse"
R_c1005d7b57,Customer Service,4.26,Store staff were patient and explained everything clearly
R_3043d8afdc,App Experience,-2.07,"Honestly, The new app update made everything worse"
R_6d9a9b4e40,Network Coverage,-0.6,"Honestly, Signal drops during important calls, very unprofessional"
R_d20eb6b694,App Experience,-1.86,Login issues with the app at least once a week
R_f457cd2b29,App Experience,-1.39,"Look, App is slow and the interface is confusing"
R_4255aae221,Loyalty & Retention,-2.06,"I have to say, Would leave tomorrow if porting wasn't such a hassle"
R_3c974e3ffb,Billing Issues,-2.43,Took me 45 minutes on the phone to dispute a billing error
R_4abb672c95,Network Coverage,-2.59,"To be fair, Can't get any signal in the basement of my office"
R_e1b43d6bbe,App Experience,-0.15,"Honestly, App is slow and the interface is confusing"
R_26782029aa,Billing Issues,-3.35,"To be fair, Took me 45 minutes on the phone to dispute a billing error"
R_5454d489e7,5G Performance,-0.51,Upgraded for 5G but can only get it in 3 locations in my city
R_c843a692f7,Billing Issues,-2.56,"I have to say, My bill had charges I never agreed to"
R_cb3db455ad,Billing Issues,-1.66,"To be fair, Bill went up without any notice or explanation"
R_57ead77318,App Experience,-0.99,"Honestly, App is slow and the interface is confusing"
R_0c12e2116f,App Experience,-1.15,App doesn't show real-time data usage
R_b48ed8f837,Value Perception,0.4,I'm paying premium prices for sub-standard network quality
R_b164140d31,Customer Service,1.81,"I have to say, Impressed by how knowledgeable the support team is"
R_19c30ca7e3,Billing Issues,-1.13,I can't reconcile what I'm paying with what I was promised
R_674ea1b8b6,Value Perception,-0.06,"To be fair, The premium plan isn't worth the extra cost"
R_6c8b5ac071,Value Perception,-0.28,The premium plan isn't worth the extra cost
R_ea4a09f301,5G Performance,1.24,"To be fair, Paying for 5G but rarely get 5G signal"
R_a93c53f1d8,Network Coverage,-2.92,Network outages at least twice a month in our village
